defense,defense_key,label,label_name,node_idx,abs_l2,rel_l2,cos_sim
Adversarial Training,adv_train,5,or,34364,0.7844623327255249,0.6021733677275113,0.8006739020347595
Adversarial Training,adv_train,5,or,45073,0.8146160840988159,0.16956361278515722,0.9967628121376038
Adversarial Training,adv_train,5,or,39334,0.5018030405044556,0.38530464456484315,0.9238595962524414
Adversarial Training,adv_train,5,or,45032,1.463371992111206,0.5235169610495222,0.9423606991767883
Adversarial Training,adv_train,5,or,39301,1.314102292060852,1.0381154950362859,0.5475082993507385
Adversarial Training,adv_train,5,or,39248,0.2769673764705658,0.24496672436654648,0.9858999252319336
Adversarial Training,adv_train,5,or,34308,0.6486103534698486,0.44319814341943403,0.8991720676422119
Adversarial Training,adv_train,5,or,31132,3.471834421157837,0.804329423734759,0.788467526435852
Adversarial Training,adv_train,5,or,39445,2.9778993129730225,0.7331782494850686,0.7428724765777588
Adversarial Training,adv_train,5,or,39423,1.3380300998687744,0.5798367680180629,0.9322510957717896
Adversarial Training,adv_train,5,or,28647,0.5057874917984009,0.24854621955015455,0.9801952242851257
Adversarial Training,adv_train,5,or,28386,0.3701183497905731,0.18186586855188003,0.9907119274139404
Adversarial Training,adv_train,5,or,31098,0.7777594923973083,0.5493893104140878,0.8739609718322754
Adversarial Training,adv_train,5,or,32196,0.3469398319721222,0.2787850488217654,0.9857856035232544
Adversarial Training,adv_train,5,or,49692,0.35987207293510437,0.19978759567331325,0.9944236874580383
Adversarial Training,adv_train,6,output,29926,7.474929332733154,0.7825227853979971,0.8226497769355774
Adversarial Training,adv_train,6,output,44608,5.690701007843018,0.6923440299955999,0.8896462321281433
Adversarial Training,adv_train,6,output,26019,5.580356121063232,0.6781202194498384,0.8908153176307678
Adversarial Training,adv_train,6,output,42359,5.360025882720947,0.6516481010042762,0.8461233377456665
Adversarial Training,adv_train,6,output,42351,5.490367889404297,0.6673540660419189,0.8624604344367981
Adversarial Training,adv_train,6,output,50713,6.777770042419434,0.8205714403774884,0.5720800757408142
Adversarial Training,adv_train,6,output,39751,6.208620071411133,0.754940350281473,0.7492930889129639
Adversarial Training,adv_train,6,output,2448,6.194451808929443,0.7537445245786154,0.7468104362487793
Adversarial Training,adv_train,6,output,29250,5.5490827560424805,0.6693301588653462,0.890402615070343
Adversarial Training,adv_train,6,output,39790,5.767990589141846,0.6628372522350539,0.8851361274719238
Adversarial Training,adv_train,6,output,42252,6.436981201171875,0.7827287342069361,0.6306897401809692
Adversarial Training,adv_train,6,output,29241,5.209597587585449,0.6283814702756254,0.9384562969207764
Adversarial Training,adv_train,6,output,41804,8.675421714782715,1.0366530623207268,-0.16224607825279236
Adversarial Training,adv_train,6,output,44638,6.330235481262207,0.7704191922090481,0.78038489818573
Adversarial Training,adv_train,6,output,29919,6.789333343505859,0.7107502696635009,0.8948869109153748
Adversarial Training,adv_train,6,output,50678,5.615198135375977,0.6801100927081665,0.834197998046875
Adversarial Training,adv_train,6,output,2425,6.0717315673828125,0.7388139970693061,0.7900935411453247
Adversarial Training,adv_train,6,output,39779,6.217766284942627,0.7454704699687036,0.797176718711853
Adversarial Training,adv_train,6,output,50800,5.88347864151001,0.7126022051830897,0.7903746366500854
Adversarial Training,adv_train,6,output,31354,5.4759721755981445,0.6667925077587483,0.902195155620575
Adversarial Training,adv_train,7,xor,32814,24.155099868774414,0.9490450552959578,0.7894192934036255
Adversarial Training,adv_train,7,xor,32624,19.566314697265625,0.8146118970439213,0.8819973468780518
Adversarial Training,adv_train,7,xor,32832,24.0550537109375,0.9906465807755505,0.15836390852928162
Adversarial Training,adv_train,7,xor,32780,22.158720016479492,0.9743180365493054,0.43012166023254395
Adversarial Training,adv_train,7,xor,32833,23.024885177612305,0.948219459328045,0.9134690761566162
Adversarial Training,adv_train,7,xor,32828,23.857376098632812,0.9825057280017954,0.2949710488319397
Adversarial Training,adv_train,7,xor,32764,21.5101318359375,0.9550936342887901,0.8938328623771667
Adversarial Training,adv_train,7,xor,32751,21.465429306030273,0.9532941984424137,0.7567718625068665
Adversarial Training,adv_train,7,xor,32793,21.84015655517578,0.9639294974268262,0.431903213262558
Adversarial Training,adv_train,7,xor,32755,21.464632034301758,0.9532587910670223,0.6801791191101074
Adversarial Training,adv_train,7,xor,32819,23.498788833618164,0.9677382179282302,0.8627930879592896
Adversarial Training,adv_train,7,xor,32817,23.915725708007812,0.9849063882557285,0.2549714744091034
Adversarial Training,adv_train,7,xor,32608,22.331453323364258,0.961856845154545,0.7283404469490051
Adversarial Training,adv_train,7,xor,32827,23.28095817565918,0.9587674129120254,0.915012001991272
Adversarial Training,adv_train,7,xor,32784,21.00371551513672,0.922733987992238,0.8914028406143188
Adversarial Training,adv_train,7,xor,32812,22.422910690307617,0.9165540337668842,0.8249058723449707
Adversarial Training,adv_train,7,xor,32610,22.432056427001953,0.9661161133400525,0.8681004643440247
Adversarial Training,adv_train,7,xor,32743,21.862035751342773,0.9709077582734793,0.39590567350387573
Adversarial Training,adv_train,7,xor,32792,20.604921340942383,0.9112635712323468,0.8783302903175354
Adversarial Training,adv_train,7,xor,32781,21.41929054260254,0.9411981873368158,0.8834993243217468
